SourceReport,GroupType,GroupValue,SampleCount,Mean_CloseReturn_Pct,PositiveCloseReturnRate,Mean_MFE_Pct,Mean_MAE_Pct,Baseline_Mean_CloseReturn_Pct,Baseline_PositiveCloseReturnRate,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,MinSamplePassed,RankingMethod,RankingScore,RankingLabel
context_report,CtxDeltaSpike_v1,1,14,0.08231852526225139,0.6428571428571429,7.302116692350553,-0.05280966936729766,0.050389771590115436,0.7291666666666666,0.031928753672135955,-0.08630952380952372,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.061869492017354984,TOP
context_report,CtxOISpike_v1,0,34,0.04714333994658854,0.7352941176470589,6.052580651577023,-0.07809862930043698,0.050389771590115436,0.7291666666666666,-0.0032464316435268925,0.006127450980392246,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.1252924482615713,TOP
context_report,CtxOISpike_v1,1,14,0.05827396272439505,0.7142857142857143,0.17485516082687227,-0.0863680211067895,0.050389771590115436,0.7291666666666666,0.007884191134279614,-0.014880952380952328,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.012322790473122711,WEAK
context_report,CtxLiqSpike_v1,0,45,0.04416921408658873,0.7111111111111111,4.6152965263114245,-0.07803305362853559,0.050389771590115436,0.7291666666666666,-0.006220557503526708,-0.01805555555555549,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0720676581477496,TOP
context_report,CtxLiqSpike_v1,1,3,0.14369813414301588,1.0,0.18245690706028428,-0.11767275947526985,0.050389771590115436,0.7291666666666666,0.09330836255290045,0.27083333333333337,False,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2814598525403237,LOW_SAMPLE
context_report,CtxWickReclaim_v1,0,37,0.04326287063609145,0.7027027027027027,5.571307427740541,-0.08638704450927168,0.050389771590115436,0.7291666666666666,-0.007126900954023983,-0.026463963963963888,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0825217536052591,TOP
context_report,CtxWickReclaim_v1,1,11,0.07436207479910519,0.8181818181818182,0.1906672344359098,-0.060744094987896326,0.050389771590115436,0.7291666666666666,0.02397230320898975,0.0890151515151516,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09401084462501084,TOP
context_report,AbsorptionScore_v1,LOW,16,0.017430820108041957,0.75,6.413186138266013,-0.08993965645967664,0.050389771590115436,0.7291666666666666,-0.03295895148207348,0.02083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14400236782125275,TOP
context_report,AbsorptionScore_v1,MID,16,0.05447668673788668,0.6875,6.42198049734347,-0.08194519343222392,0.050389771590115436,0.7291666666666666,0.004086915147771243,-0.04166666666666663,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08554273092633542,TOP
context_report,AbsorptionScore_v1,HIGH,16,0.07926180792441767,0.75,0.17956551471520243,-0.06964675583996886,0.050389771590115436,0.7291666666666666,0.028872036334302235,0.02083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.025918912144268266,TOP
context_report,RelVolume_20,LOW,16,-0.05793873787731785,0.5625,0.13273630409508191,-0.19374518554345221,0.050389771590115436,0.7291666666666666,-0.10832850946743328,-0.16666666666666663,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.17871969524237735,WEAK
context_report,RelVolume_20,MID,16,0.12522996620295854,0.875,6.452819135912782,0.009420905525308233,0.050389771590115436,0.7291666666666666,0.07484019461284311,0.14583333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2825621536233795,TOP
context_report,RelVolume_20,HIGH,16,0.08387808644470561,0.75,6.429176710316821,-0.05720732571372545,0.050389771590115436,0.7291666666666666,0.033488314854590175,0.02083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.15162155251085432,TOP
context_report,DeltaAbsRatio_20,LOW,16,0.08097081301607825,0.75,0.18877470195416082,-0.061929339543065245,0.050389771590115436,0.7291666666666666,0.030581041425962817,0.02083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.026428344724151565,TOP
context_report,DeltaAbsRatio_20,MID,16,-0.005446591709012953,0.75,6.412547814369369,-0.127108111034461,0.050389771590115436,0.7291666666666666,-0.05583636329912839,0.02083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14095849107011868,TOP
context_report,DeltaAbsRatio_20,HIGH,16,0.07564509346328102,0.6875,6.413409634001156,-0.052494155154343136,0.050389771590115436,0.7291666666666666,0.025255321873165586,-0.04166666666666663,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0880771750975862,TOP
context_report,OIChangeAbsRatio_20,LOW,16,-0.0047789396486310545,0.6875,6.3984026831704455,-0.12784816307459151,0.050389771590115436,0.7291666666666666,-0.05516871123874649,-0.04166666666666663,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0782275526113758,TOP
context_report,OIChangeAbsRatio_20,MID,16,0.09361543628123792,0.8125,0.1980838854451421,-0.038704961487782075,0.050389771590115436,0.7291666666666666,0.04322566469112248,0.08333333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09084347828159281,TOP
context_report,OIChangeAbsRatio_20,HIGH,16,0.06233281813773945,0.6875,6.418245581709098,-0.07497848116949582,0.050389771590115436,0.7291666666666666,0.011943046547624014,-0.04166666666666663,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08639297999888784,TOP
context_report,LiqTotalRatio_20,LOW,16,0.06623591961614361,0.75,12.659414412125543,-0.05189456582272422,0.050389771590115436,0.7291666666666666,0.015846148026028177,0.02083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2745683450619925,TOP
context_report,LiqTotalRatio_20,MID,16,-0.00019850894958184026,0.625,0.16379779703545314,-0.12362029352273703,0.050389771590115436,0.7291666666666666,-0.05058828053969727,-0.10416666666666663,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.10842194465038205,WEAK
context_report,LiqTotalRatio_20,HIGH,16,0.08513190410378454,0.8125,0.1915199411636898,-0.06601674638640817,0.050389771590115436,0.7291666666666666,0.03474213251366911,0.08333333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08931761048024592,TOP
