slice,run_id,setup_id,setup_type_original,entry_signal_ts,exit_reason,exit_reason_category,close_return_pct,mfe_pct,mae_pct,trade_return_pct,replay_minus_outcome,outcome_positive,replay_positive
ctx_spike_count_ge2,2026-04-01_to_2026-04-01_run_001,61d8ef9186a7935a7ad8e1e4,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-01 08:55:00+00:00,EXPIRY,EXPIRY,0.00076473,0.00277296,0.00009386,0.00098090,0.00021617,True,True
ctx_spike_count_ge2,2026-04-01_to_2026-04-01_run_001,b5246ffa6686ae2b7d09b25a,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-01 12:47:00+00:00,TAKE_PROFIT,TARGET,0.00167506,0.00203444,-0.00119267,0.00037832,-0.00129674,True,True
ctx_spike_count_ge2,2026-04-01_to_2026-04-01_run_001,0640c64552644dbf6447f6ff,FAILED_BREAK_RECLAIM_SHORT,2026-04-01 15:27:00+00:00,STOP_LOSS,STOP,0.00094949,0.00220432,-0.00091314,-0.00108881,-0.00203829,True,False
ctx_spike_count_ge2,2026-04-02_to_2026-04-02_run_001,779afc13aef4e0ba5e40d8a7,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-02 04:22:00+00:00,TAKE_PROFIT,TARGET,0.00131762,0.00197808,0.00018625,0.00027943,-0.00103818,True,True
ctx_spike_count_ge2,2026-04-02_to_2026-04-02_run_001,8141a10b5aa5df183fa33f84,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-02 09:42:00+00:00,TAKE_PROFIT,TARGET,0.00156508,0.00177878,0.00018661,0.00097806,-0.00058702,True,True
ctx_spike_count_ge2,2026-04-02_to_2026-04-02_run_001,9c6b9223803a95ea039e6862,FAILED_BREAK_RECLAIM_SHORT,2026-04-02 14:39:00+00:00,TAKE_PROFIT,TARGET,0.00337377,0.00414808,-0.00271307,0.00142740,-0.00194637,True,True
ctx_spike_count_ge2,2026-04-02_to_2026-04-02_run_001,050bc7fab061f2b8ee4186eb,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-02 18:44:00+00:00,STOP_LOSS,STOP,-0.00394680,0.00031191,-0.00536687,-0.00022948,0.00371732,False,False
ctx_spike_count_ge2,2026-04-02_to_2026-04-02_run_001,11e935896c88ec20c11bcdd0,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-02 22:41:00+00:00,STOP_LOSS,STOP,-0.00023004,0.00091566,-0.00059600,-0.00013894,0.00009110,False,False
ctx_spike_count_ge2,2026-04-03_to_2026-04-03_run_001,8830bbb2ad9aed500e1adfa5,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-03 09:23:00+00:00,STOP_LOSS,STOP,-0.00087316,0.00048122,-0.00108890,-0.00025206,0.00062109,False,False
ctx_spike_count_ge2,2026-04-03_to_2026-04-03_run_001,439072b5ab1117cd730f3ef9,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-03 11:25:00+00:00,STOP_LOSS,STOP,-0.00084252,0.00029230,-0.00128509,-0.00022956,0.00061296,False,False
