surface_id,family,side,horizon,session,regime,vwap_bucket,volume_bucket,rejection_bucket,raw_events,clustered_events,independent_trade_days,events_per_day_max,largest_day_event_share,mean_return,median_return,positive_rate,avg_mfe,avg_mae,mfe_mae_ratio,day_concentration_max_share,session_distribution,gross_edge_bp,net_edge_bp_after_0_00015,net_edge_bp_after_0_00020,verdict,verdict_reason
VWAP_DEVIATION_REVERSION|SHORT|12|LATE_US|CHOP|EXTREME_GE_1_0|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,LATE_US,CHOP,EXTREME_GE_1_0,BELOW_Q75,STRONG_GE_0_45,14885,9,5,3,0.333333,0.0005416819,6.28666e-05,0.555556,0.0013280217,-0.0012380728,1.072652,0.333333,"{""LATE_US"": 9}",5.416819,3.916819,3.416819,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|3|ASIA|CHOP|MID_0_3_0_6|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,3,ASIA,CHOP,MID_0_3_0_6,BELOW_Q75,LOW_LT_0_25,15336,1,1,1,1.0,0.0005414119,0.0005414119,1.0,0.0014293275,-1.3535e-06,1056.023273,1.0,"{""ASIA"": 1}",5.414119,3.914119,3.414119,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|3|LONDON|EXPANSION|MID_0_3_0_6|Q75_90|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,3,LONDON,EXPANSION,MID_0_3_0_6,Q75_90,LOW_LT_0_25,14885,2,2,1,0.5,0.0005413507,0.0005413507,1.0,0.0016908585,-0.0002605022,6.490766,0.5,"{""LONDON"": 2}",5.413507,3.913507,3.413507,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|LONG|60|US|EXPANSION|MID_0_3_0_6|Q90_95|MID_0_25_0_45,EXHAUSTION_REVERSAL,LONG,60,US,EXPANSION,MID_0_3_0_6,Q90_95,MID_0_25_0_45,282,1,1,1,1.0,0.0005412833,0.0005412833,1.0,0.0057432852,-0.0075316135,0.762557,1.0,"{""US"": 1}",5.412833,3.912833,3.412833,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|LONG|24|US|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,EXHAUSTION_REVERSAL,LONG,24,US,REVERSAL_CANDIDATE,HIGH_0_6_1_0,Q90_95,STRONG_GE_0_45,282,3,3,1,0.333333,0.0005405581,0.0002190405,0.666667,0.0014419571,-0.0038960689,0.370106,0.333333,"{""US"": 3}",5.405581,3.905581,3.405581,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|3|LATE_US|UNKNOWN|HIGH_0_6_1_0|Q95_PLUS|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,3,LATE_US,UNKNOWN,HIGH_0_6_1_0,Q95_PLUS,STRONG_GE_0_45,15336,3,3,1,0.333333,0.0005405071,1.76643e-05,0.666667,0.001128497,-0.0005946972,1.897599,0.333333,"{""LATE_US"": 3}",5.405071,3.905071,3.405071,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|US|UNKNOWN|HIGH_0_6_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,6,US,UNKNOWN,HIGH_0_6_1_0,Q75_90,MID_0_25_0_45,14885,1,1,1,1.0,0.0005396919,0.0005396919,1.0,0.001375651,-0.0010659805,1.290503,1.0,"{""US"": 1}",5.396919,3.896919,3.396919,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|US|REVERSAL_CANDIDATE|EXTREME_GE_1_0|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,US,REVERSAL_CANDIDATE,EXTREME_GE_1_0,BELOW_Q75,STRONG_GE_0_45,14885,17,10,4,0.235294,0.0005391762,0.0009379638,0.705882,0.0019077937,-0.0013472755,1.416038,0.235294,"{""US"": 17}",5.391762,3.891762,3.391762,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LONDON|CHOP|MID_0_3_0_6|Q75_90|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,24,LONDON,CHOP,MID_0_3_0_6,Q75_90,LOW_LT_0_25,14885,3,3,1,0.333333,0.000538911,0.0014641083,0.666667,0.0015122293,-0.0003464041,4.365506,0.333333,"{""LONDON"": 3}",5.38911,3.88911,3.38911,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LATE_US|TREND_DOWN|HIGH_0_6_1_0|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,LATE_US,TREND_DOWN,HIGH_0_6_1_0,Q75_90,STRONG_GE_0_45,14885,1,1,1,1.0,0.0005380583,0.0005380583,1.0,0.0042083333,-0.001682278,2.501568,1.0,"{""LATE_US"": 1}",5.380583,3.880583,3.380583,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|LATE_US|UNKNOWN|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,6,LATE_US,UNKNOWN,HIGH_0_6_1_0,Q90_95,MID_0_25_0_45,14885,2,2,1,0.5,0.0005374944,0.0005374944,1.0,0.0014622087,-0.0007954849,1.838135,0.5,"{""LATE_US"": 2}",5.374944,3.874944,3.374944,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|3|ASIA|UNKNOWN|HIGH_0_6_1_0|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,3,ASIA,UNKNOWN,HIGH_0_6_1_0,BELOW_Q75,STRONG_GE_0_45,14885,2,2,1,0.5,0.0005374931,0.0005374931,0.5,0.0017636543,-0.0002612071,6.75194,0.5,"{""ASIA"": 2}",5.374931,3.874931,3.374931,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;positive_rate_below_0_53;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LATE_US|UNKNOWN|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,LATE_US,UNKNOWN,HIGH_0_6_1_0,Q90_95,MID_0_25_0_45,14885,2,2,1,0.5,0.0005369932,0.0005369932,1.0,0.0014622087,-0.0007954849,1.838135,0.5,"{""LATE_US"": 2}",5.369932,3.869932,3.369932,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|US|TREND_UP|HIGH_0_6_1_0|Q90_95|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,6,US,TREND_UP,HIGH_0_6_1_0,Q90_95,LOW_LT_0_25,14885,1,1,1,1.0,0.0005365882,0.0005365882,1.0,0.0014815833,-0.0003182835,4.654917,1.0,"{""US"": 1}",5.365882,3.865882,3.365882,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|LATE_US|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,LATE_US,REVERSAL_CANDIDATE,EXTREME_GE_1_0,Q90_95,STRONG_GE_0_45,14885,10,6,3,0.3,0.0005349143,0.0009154194,0.7,0.002275507,-0.0022231816,1.023536,0.3,"{""LATE_US"": 10}",5.349143,3.849143,3.349143,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|6|LONDON|UNKNOWN|MID_0_3_0_6|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,6,LONDON,UNKNOWN,MID_0_3_0_6,Q75_90,STRONG_GE_0_45,15336,5,5,1,0.2,0.0005343596,0.0007575758,1.0,0.0010982299,-0.0015965826,0.687863,0.2,"{""LONDON"": 5}",5.343596,3.843596,3.343596,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|3|US|UNKNOWN|MID_0_3_0_6|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,3,US,UNKNOWN,MID_0_3_0_6,BELOW_Q75,LOW_LT_0_25,15336,1,1,1,1.0,0.0005337057,0.0005337057,1.0,0.0037602645,-0.0003047703,12.338028,1.0,"{""US"": 1}",5.337057,3.837057,3.337057,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|LATE_US|CHOP|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,6,LATE_US,CHOP,HIGH_0_6_1_0,Q90_95,MID_0_25_0_45,14885,2,2,1,0.5,0.0005323571,0.0005323571,1.0,0.0016729248,-0.0002303367,7.262954,0.5,"{""LATE_US"": 2}",5.323571,3.823571,3.323571,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|LONDON|CHOP|MID_0_3_0_6|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,6,LONDON,CHOP,MID_0_3_0_6,Q75_90,MID_0_25_0_45,14885,2,2,1,0.5,0.0005323292,0.0005323292,1.0,0.0019745461,-0.0002096896,9.416517,0.5,"{""LONDON"": 2}",5.323292,3.823292,3.323292,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|6|LONDON|REVERSAL_CANDIDATE|MID_0_3_0_6|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,6,LONDON,REVERSAL_CANDIDATE,MID_0_3_0_6,BELOW_Q75,STRONG_GE_0_45,15336,1,1,1,1.0,0.0005315675,0.0005315675,1.0,0.0050984015,-0.0002814984,18.111654,1.0,"{""LONDON"": 1}",5.315675,3.815675,3.315675,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|3|LATE_US|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q95_PLUS|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,3,LATE_US,REVERSAL_CANDIDATE,HIGH_0_6_1_0,Q95_PLUS,STRONG_GE_0_45,15336,6,6,1,0.166667,0.0005303767,0.0006001632,0.666667,0.0016776024,-0.0012945726,1.295874,0.166667,"{""LATE_US"": 6}",5.303767,3.803767,3.303767,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LATE_US|UNKNOWN|MID_0_3_0_6|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,LATE_US,UNKNOWN,MID_0_3_0_6,Q75_90,STRONG_GE_0_45,14885,2,2,1,0.5,0.0005302647,0.0005302647,0.5,0.0028394245,-0.00086614,3.278251,0.5,"{""LATE_US"": 2}",5.302647,3.802647,3.302647,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;positive_rate_below_0_53;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LATE_US|TREND_UP|EXTREME_GE_1_0|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,LATE_US,TREND_UP,EXTREME_GE_1_0,BELOW_Q75,STRONG_GE_0_45,14885,6,5,2,0.333333,0.0005296164,0.0006070449,0.666667,0.0014625929,-0.001775705,0.823669,0.333333,"{""LATE_US"": 6}",5.296164,3.796164,3.296164,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|3|US|EXPANSION|HIGH_0_6_1_0|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,3,US,EXPANSION,HIGH_0_6_1_0,Q75_90,STRONG_GE_0_45,14885,7,7,1,0.142857,0.0005294463,0.0004870008,0.571429,0.0042859839,-0.0014330622,2.990787,0.142857,"{""US"": 7}",5.294463,3.794463,3.294463,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15
VWAP_DEVIATION_REVERSION|LONG|12|LATE_US|CHOP|MID_0_3_0_6|Q90_95|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,12,LATE_US,CHOP,MID_0_3_0_6,Q90_95,LOW_LT_0_25,15336,1,1,1,1.0,0.000528623,0.000528623,1.0,0.0007091284,-0.0004899433,1.447368,1.0,"{""LATE_US"": 1}",5.28623,3.78623,3.28623,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|US|CHOP|HIGH_0_6_1_0|Q95_PLUS|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,US,CHOP,HIGH_0_6_1_0,Q95_PLUS,STRONG_GE_0_45,14885,1,1,1,1.0,0.0005281395,0.0005281395,1.0,0.0010961236,-0.0001159196,9.455895,1.0,"{""US"": 1}",5.281395,3.781395,3.281395,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|ASIA|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q95_PLUS|STRONG_GE_0_45,EXHAUSTION_REVERSAL,SHORT,60,ASIA,REVERSAL_CANDIDATE,HIGH_0_6_1_0,Q95_PLUS,STRONG_GE_0_45,302,6,6,1,0.166667,0.0005271336,0.0004199873,0.5,0.0046262452,-0.0034603788,1.336919,0.166667,"{""ASIA"": 6}",5.271336,3.771336,3.271336,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;positive_rate_below_0_53;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|6|US|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q90_95|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,6,US,REVERSAL_CANDIDATE,HIGH_0_6_1_0,Q90_95,LOW_LT_0_25,15336,1,1,1,1.0,0.0005259006,0.0005259006,1.0,0.0030949553,-0.0007435146,4.162602,1.0,"{""US"": 1}",5.259006,3.759006,3.259006,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LONDON|EXPANSION|MID_0_3_0_6|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,LONDON,EXPANSION,MID_0_3_0_6,Q90_95,STRONG_GE_0_45,14885,2,2,1,0.5,0.0005253541,0.0005253541,0.5,0.0015736619,-9.96754e-05,15.787875,0.5,"{""LONDON"": 2}",5.253541,3.753541,3.253541,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;positive_rate_below_0_53;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|ASIA|EXPANSION|MID_0_3_0_6|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,ASIA,EXPANSION,MID_0_3_0_6,BELOW_Q75,STRONG_GE_0_45,14885,9,6,3,0.333333,0.0005241433,0.0001425831,0.555556,0.001868611,-0.0008032385,2.326346,0.333333,"{""ASIA"": 9}",5.241433,3.741433,3.241433,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|LATE_US|EXPANSION|MID_0_3_0_6|Q75_90|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,6,LATE_US,EXPANSION,MID_0_3_0_6,Q75_90,LOW_LT_0_25,14885,1,1,1,1.0,0.0005237876,0.0005237876,1.0,0.0012407424,-0.0003065134,4.047922,1.0,"{""LATE_US"": 1}",5.237876,3.737876,3.237876,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|3|LONDON|CHOP|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,3,LONDON,CHOP,HIGH_0_6_1_0,Q90_95,STRONG_GE_0_45,15336,1,1,1,1.0,0.0005235446,0.0005235446,1.0,0.0026528967,-0.0025866081,1.025628,1.0,"{""LONDON"": 1}",5.235446,3.735446,3.235446,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|6|US|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q95_PLUS|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,6,US,REVERSAL_CANDIDATE,EXTREME_GE_1_0,Q95_PLUS,STRONG_GE_0_45,15336,22,13,6,0.272727,0.0005235334,0.0007092416,0.636364,0.0027084251,-0.0020941774,1.293312,0.272727,"{""US"": 22}",5.235334,3.735334,3.235334,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|US|UNKNOWN|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,US,UNKNOWN,HIGH_0_6_1_0,Q90_95,STRONG_GE_0_45,14885,1,1,1,1.0,0.0005231393,0.0005231393,1.0,0.0010473745,0.0,999.0,1.0,"{""US"": 1}",5.231393,3.731393,3.231393,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|12|LATE_US|UNKNOWN|HIGH_0_6_1_0|BELOW_Q75|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,12,LATE_US,UNKNOWN,HIGH_0_6_1_0,BELOW_Q75,MID_0_25_0_45,15336,1,1,1,1.0,0.0005226308,0.0005226308,1.0,0.000825997,-0.0009942,0.830816,1.0,"{""LATE_US"": 1}",5.226308,3.726308,3.226308,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
