variant,run_id,trade_id,source_setup_id,entry_signal_ts,entry_activation_ts,exit_ts,exit_reason_category,holding_bars,trade_return_pct
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_24454fd3acd6619ccfc2b98a,24454fd3acd6619ccfc2b98a,2026-03-15 22:09:00+00:00,2026-03-15 22:10:00+00:00,2026-03-15 22:10:00+00:00,TARGET,0,0.00031060
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_b95c944234d45f97dae11095,b95c944234d45f97dae11095,2026-03-15 22:10:00+00:00,2026-03-15 22:11:00+00:00,2026-03-15 22:12:00+00:00,TARGET,1,0.00068808
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_949de83f4797eecd0ee25333,949de83f4797eecd0ee25333,2026-03-15 22:25:00+00:00,2026-03-15 22:26:00+00:00,2026-03-15 22:26:00+00:00,STOP,0,-0.00037985
baseline_current,2026-03-16_to_2026-03-16_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_b77fdfe9dcc6f827141cc91e,b77fdfe9dcc6f827141cc91e,2026-03-16 21:06:00+00:00,2026-03-16 21:07:00+00:00,2026-03-16 21:18:00+00:00,STOP,11,-0.00328225
baseline_current,2026-03-16_to_2026-03-16_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_88a576f65861997c2f98cc1d,88a576f65861997c2f98cc1d,2026-03-16 21:22:00+00:00,2026-03-16 21:23:00+00:00,2026-03-16 21:35:00+00:00,STOP,12,-0.00247250
baseline_current,2026-03-16_to_2026-03-16_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_71e149956b2891ec6dbb4a40,71e149956b2891ec6dbb4a40,2026-03-16 21:39:00+00:00,2026-03-16 21:40:00+00:00,2026-03-16 21:40:00+00:00,STOP,0,-0.00047282
baseline_current,2026-03-16_to_2026-03-16_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_604038d1009d751c9258065f,604038d1009d751c9258065f,2026-03-16 23:05:00+00:00,2026-03-16 23:06:00+00:00,2026-03-16 23:06:00+00:00,STOP,0,-0.00067250
baseline_current,2026-03-16_to_2026-03-16_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_b1145b0a3d18f3e309cd067f,b1145b0a3d18f3e309cd067f,2026-03-16 23:05:00+00:00,2026-03-16 23:06:00+00:00,2026-03-16 23:16:00+00:00,STOP,10,-0.00177001
baseline_current,2026-03-16_to_2026-03-16_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_e1843d9600d75a17ae181dc8,e1843d9600d75a17ae181dc8,2026-03-16 23:06:00+00:00,2026-03-16 23:07:00+00:00,2026-03-16 23:07:00+00:00,TARGET,0,0.00075359
baseline_current,2026-03-16_to_2026-03-16_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_ab40bd19eabc5dbb2274a1c7,ab40bd19eabc5dbb2274a1c7,2026-03-16 23:08:00+00:00,2026-03-16 23:09:00+00:00,2026-03-16 23:12:00+00:00,STOP,3,-0.00188932
