variant,run_id,status,source_setups,selected_setups,output_dir,trade_count,resolved_trade_count,unresolved_trade_count,win_rate,mean_return,median_return,promotion_decision,validation_status,robustness_status,notes
survival_confirm_1,2026-04-04_to_2026-04-04_run_001,COMPLETED,10,6,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-04_to_2026-04-04_run_001,6,6,0,0.3333333333333333,-0.00005918,-0.00017905,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-04_to_2026-04-04_run_001,COMPLETED,10,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-04_to_2026-04-04_run_001,3,3,0,0.3333333333333333,-0.00004042,-0.00015508,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-05_to_2026-04-05_run_001,COMPLETED,8,8,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-05_to_2026-04-05_run_001,8,8,0,0.75,0.00013081,0.00003328,REJECT,FAIL,FRAGILE,
entry_delay_1,2026-04-05_to_2026-04-05_run_001,COMPLETED,8,8,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-05_to_2026-04-05_run_001,8,8,0,0.75,0.00030634,0.00018232,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-05_to_2026-04-05_run_001,COMPLETED,8,8,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-05_to_2026-04-05_run_001,8,8,0,0.625,0.00016313,0.00017000,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-05_to_2026-04-05_run_001,COMPLETED,8,5,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-05_to_2026-04-05_run_001,5,5,0,0.8,0.00044877,0.00017997,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-05_to_2026-04-05_run_001,COMPLETED,8,7,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-05_to_2026-04-05_run_001,7,7,0,0.7142857142857143,0.00030096,0.00017997,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-06_to_2026-04-06_run_001,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-06_to_2026-04-06_run_001,4,4,0,0.75,0.00053874,0.00075638,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-04-06_to_2026-04-06_run_001,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-06_to_2026-04-06_run_001,4,4,0,0.75,0.00024711,0.00096524,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-06_to_2026-04-06_run_001,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-06_to_2026-04-06_run_001,4,4,0,0.5,0.00037950,0.00068927,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-06_to_2026-04-06_run_001,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-06_to_2026-04-06_run_001,4,4,0,0.75,0.00024711,0.00096524,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-06_to_2026-04-06_run_001,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-06_to_2026-04-06_run_001,4,4,0,0.75,0.00024711,0.00096524,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-07_to_2026-04-07_run_001,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-07_to_2026-04-07_run_001,3,3,0,1.0,0.00017985,0.00021201,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-04-07_to_2026-04-07_run_001,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-07_to_2026-04-07_run_001,3,3,0,0.6666666666666666,0.00021335,0.00074835,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-07_to_2026-04-07_run_001,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-07_to_2026-04-07_run_001,3,3,0,0.3333333333333333,-0.00002738,-0.00060386,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-04-07_to_2026-04-07_run_001,COMPLETED,3,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-07_to_2026-04-07_run_001,2,2,0,0.5,-0.00005415,-0.00005415,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-07_to_2026-04-07_run_001,COMPLETED,3,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-07_to_2026-04-07_run_001,3,3,0,0.6666666666666666,0.00021335,0.00074835,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-08_to_2026-04-08_run_001,COMPLETED,8,8,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-08_to_2026-04-08_run_001,8,8,0,0.5,-0.00000521,0.00002824,REJECT,FAIL,FRAGILE,
entry_delay_1,2026-04-08_to_2026-04-08_run_001,COMPLETED,8,8,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-08_to_2026-04-08_run_001,8,8,0,0.5,-0.00017637,-0.00017620,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-08_to_2026-04-08_run_001,COMPLETED,8,8,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-08_to_2026-04-08_run_001,8,8,0,0.5,-0.00004013,-0.00002682,REJECT,FAIL,FRAGILE,
survival_confirm_1,2026-04-08_to_2026-04-08_run_001,COMPLETED,8,6,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-08_to_2026-04-08_run_001,6,6,0,0.3333333333333333,-0.00025359,-0.00052956,REJECT,FAIL,UNSTABLE,
