ExpiryModel,SetupId,Direction,SourceTF,RefExit,SweepExit,RefR,SweepR,DeltaR_SweepMinusRef,RefRiskDistance,SweepRiskDistance,RefHoldBars,SweepHoldBars,SweepSavesReferenceSL,SweepMakesTPUnreachable,ReferenceWinsTinyR
BARS_AFTER_ACTIVATION:1440,513de79500f119ebdc89e724,SHORT,H4,TARGET,STOP,1.5,-1.0,-2.5,39.6,165.2,5,52,False,True,True
BARS_AFTER_ACTIVATION:1440,529e011ce85b08c22a5543ef,LONG,H1,TARGET,TARGET,1.5,1.5,0.0,138.4,165.5,13,39,False,False,False
BARS_AFTER_ACTIVATION:1440,53ce81ab3558fd452e180d5e,LONG,H1,TARGET,TARGET,1.5,1.5,0.0,21.9,215.0,0,8,False,False,False
BARS_AFTER_ACTIVATION:1440,5aa6ca780f474006f1ad7e92,LONG,H4,TARGET,TARGET,1.5,1.5,-0.0,20.8,50.9,1,3,False,False,False
BARS_AFTER_ACTIVATION:1440,5b5778d8476b895e6de94ff8,SHORT,H4,STOP,STOP,-1.0,-1.0,0.0,59.9,225.9,0,2,False,False,False
BARS_AFTER_ACTIVATION:1440,5bc1073be42766be08fbc2fa,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,5.2,82.4,0,6,False,False,False
BARS_AFTER_ACTIVATION:1440,5c61c916ce4a9c42bd0cbf30,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,16.7,57.7,0,2,False,False,False
BARS_AFTER_ACTIVATION:1440,5e06d5af8f122b1681703a39,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,106.6,166.1,0,2,False,False,False
BARS_AFTER_ACTIVATION:1440,5f2ad97cd2153b5366d43956,SHORT,H1,TARGET,STOP,1.5,-1.0,-2.5,36.7,156.7,1,22,False,True,True
BARS_AFTER_ACTIVATION:1440,5ff293bd267a4026fe4d55d7,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,37.7,39.2,3,3,False,False,False
BARS_AFTER_ACTIVATION:1440,60d4bed2703ae84f984db702,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,13.1,32.5,0,0,False,False,False
BARS_AFTER_ACTIVATION:1440,61785825c076c85d3d731b91,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,25.5,90.5,0,1,False,False,False
BARS_AFTER_ACTIVATION:1440,688bda85d7f34007f4667706,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,6.1,30.6,0,0,False,False,False
BARS_AFTER_ACTIVATION:1440,6a8bf19c00c0f910ef988ca9,SHORT,H1,TARGET,STOP,1.5,-1.0,-2.5,23.7,217.9,2,26,False,True,True
BARS_AFTER_ACTIVATION:1440,6c08d4fc85384e3909e2f652,SHORT,H1,TARGET,TARGET,1.5,1.5,-0.0,41.8,110.2,1,7,False,False,False
BARS_AFTER_ACTIVATION:1440,6d0e09c4a42a93ab19e9b46f,SHORT,H1,TARGET,STOP,1.5,-1.0,-2.5,27.7,40.4,0,5,False,True,True
BARS_AFTER_ACTIVATION:1440,6ded84a264bd234ef565b710,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,76.2,187.7,2,30,False,False,False
BARS_AFTER_ACTIVATION:1440,6e61c08bda2a0cf64c034380,SHORT,H1,STOP,STOP,-1.0,-1.0,-0.0,77.0,213.8,2,19,False,False,False
BARS_AFTER_ACTIVATION:1440,6ec162d93d344ce6d10217b3,SHORT,H1,TARGET,TARGET,1.5,1.5,-0.0,102.2,173.1,0,11,False,False,False
BARS_AFTER_ACTIVATION:1440,715ba4f3eaf520fc8a7b6be7,LONG,H1,TARGET,STOP,1.5,-1.0,-2.5,8.9,88.0,0,9,False,True,True
BARS_AFTER_ACTIVATION:1440,73b6c5cf922064c9b828e263,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,11.8,77.1,1,7,False,False,False
BARS_AFTER_ACTIVATION:1440,73b794414f1deb66167c69b0,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,285.4,425.4,2,4,False,False,False
BARS_AFTER_ACTIVATION:1440,747855283015820c70664969,SHORT,H4,TARGET,TARGET,1.5,1.5,0.0,4.9,472.9,2,230,False,False,False
BARS_AFTER_ACTIVATION:1440,74df23a499a4f19b3edcc8c0,LONG,H1,TARGET,TARGET,1.5,1.5,0.0,46.7,48.5,17,17,False,False,False
BARS_AFTER_ACTIVATION:1440,752a04162f5f952bae4ebb52,LONG,H4,TARGET,STOP,1.5,-1.0,-2.5,95.3,381.0,0,10,False,True,True
BARS_AFTER_ACTIVATION:1440,771759cca1539ee71e999cb7,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,207.7,314.4,38,44,False,False,False
BARS_AFTER_ACTIVATION:1440,78a602a40a9f851489d94748,LONG,H1,TARGET,TARGET,1.5,1.5,0.0,35.7,46.2,0,1,False,False,False
BARS_AFTER_ACTIVATION:1440,79bebe162069b3501817e290,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,31.5,36.5,1,1,False,False,False
