StopModel,SetupId,Direction,SourceTF,Exit1440,Exit2880,Exit4320,Exit5760,R1440,R2880,R4320,R5760,Hold1440,Hold5760,ChangedVs1440,Expiry1440ToTP,Expiry1440ToSL,UnchangedAcrossExpiries
REFERENCE_LEVEL_HARD_STOP,529e011ce85b08c22a5543ef,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,13,13,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,53ce81ab3558fd452e180d5e,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,5aa6ca780f474006f1ad7e92,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,5b5778d8476b895e6de94ff8,SHORT,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,5bc1073be42766be08fbc2fa,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,5c61c916ce4a9c42bd0cbf30,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,5e06d5af8f122b1681703a39,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,5f2ad97cd2153b5366d43956,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,5ff293bd267a4026fe4d55d7,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,3,3,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,60d4bed2703ae84f984db702,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,61785825c076c85d3d731b91,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,688bda85d7f34007f4667706,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,6a8bf19c00c0f910ef988ca9,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,6c08d4fc85384e3909e2f652,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
