family,side,horizon,vwap_bp_bucket,surface_type,events,independent_days,max_day_count,max_day_share,mean_return_bp,median_return_bp,positive_rate,net_bp_after_0_00015,net_bp_after_0_00020,avg_MFE,avg_MAE,MFE_MAE_ratio,max_session_share,session_distribution,no_lookahead_predicates,verdict,verdict_reason,rejection_strength_bucket,volume_bucket
VWAP_DEVIATION_REVERSION,LONG,3,,volume_bucket_only,172,45,12,0.069767,5.042319,4.793007,0.697674,3.542319,3.042319,20.853622,-11.081826,1.881786,0.331395,"{""ASIA"": 27, ""LATE_US"": 42, ""LONDON"": 46, ""US"": 57}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q90_95
VWAP_DEVIATION_REVERSION,LONG,6,,volume_bucket_only,319,48,19,0.059561,4.955172,4.934904,0.633229,3.455172,2.955172,20.968846,-13.715902,1.528798,0.373041,"{""ASIA"": 46, ""LATE_US"": 60, ""LONDON"": 94, ""US"": 119}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q95_PLUS
VWAP_DEVIATION_REVERSION,LONG,3,,volume_bucket_only,319,48,19,0.059561,4.596028,3.735621,0.639498,3.096028,2.596028,20.968846,-13.715902,1.528798,0.373041,"{""ASIA"": 46, ""LATE_US"": 60, ""LONDON"": 94, ""US"": 119}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q95_PLUS
VWAP_DEVIATION_REVERSION,LONG,3,,volume_bucket_only,460,44,25,0.054348,4.368296,3.388489,0.665217,2.868296,2.368296,19.850019,-8.415414,2.358769,0.452174,"{""ASIA"": 56, ""LATE_US"": 114, ""LONDON"": 82, ""US"": 208}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,BELOW_Q75
VWAP_DEVIATION_REVERSION,SHORT,6,,volume_bucket_only,166,45,10,0.060241,4.280824,4.401909,0.674699,2.780824,2.280824,19.302876,-12.552628,1.537756,0.379518,"{""ASIA"": 24, ""LATE_US"": 51, ""LONDON"": 28, ""US"": 63}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q90_95
VWAP_DEVIATION_REVERSION,SHORT,3,,volume_bucket_only,472,51,31,0.065678,4.246844,3.170389,0.65678,2.746844,2.246844,19.558282,-9.109224,2.147085,0.385593,"{""ASIA"": 60, ""LATE_US"": 138, ""LONDON"": 92, ""US"": 182}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,BELOW_Q75
VWAP_DEVIATION_REVERSION,LONG,24,,volume_bucket_only,320,45,22,0.06875,4.243863,5.540151,0.628125,2.743863,2.243863,18.124326,-10.262075,1.766146,0.434375,"{""ASIA"": 35, ""LATE_US"": 78, ""LONDON"": 68, ""US"": 139}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q75_90
VWAP_DEVIATION_REVERSION,SHORT,3,,volume_bucket_only,327,50,21,0.06422,4.098526,3.198976,0.654434,2.598526,2.098526,20.223943,-10.937352,1.849071,0.412844,"{""ASIA"": 41, ""LATE_US"": 87, ""LONDON"": 64, ""US"": 135}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q75_90
VWAP_DEVIATION_REVERSION,LONG,60,,volume_bucket_only,320,45,22,0.06875,4.036039,6.78779,0.59375,2.536039,2.036039,35.995735,-30.4317,1.182837,0.434375,"{""ASIA"": 35, ""LATE_US"": 78, ""LONDON"": 68, ""US"": 139}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q75_90
EXHAUSTION_REVERSAL,LONG,3,,volume_bucket_only,129,47,7,0.054264,3.643925,5.168079,0.635659,2.143925,1.643925,24.254372,-17.544653,1.382437,0.426357,"{""ASIA"": 32, ""LATE_US"": 16, ""LONDON"": 26, ""US"": 55}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q95_PLUS
VWAP_DEVIATION_REVERSION,SHORT,3,,volume_bucket_only,165,45,10,0.060606,3.108413,3.319935,0.69697,1.608413,1.108413,19.345954,-12.628704,1.531903,0.375758,"{""ASIA"": 24, ""LATE_US"": 51, ""LONDON"": 28, ""US"": 62}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q90_95
VWAP_DEVIATION_REVERSION,LONG,3,,volume_bucket_only,320,45,22,0.06875,2.997788,3.148668,0.653125,1.497788,0.997788,18.124326,-10.262075,1.766146,0.434375,"{""ASIA"": 35, ""LATE_US"": 78, ""LONDON"": 68, ""US"": 139}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q75_90
EXHAUSTION_REVERSAL,LONG,60,,volume_bucket_only,32,27,3,0.09375,22.985549,22.238928,0.875,21.485549,20.985549,46.525728,-31.263859,1.488163,0.40625,"{""ASIA"": 8, ""LATE_US"": 4, ""LONDON"": 7, ""US"": 13}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,SHORT,60,,volume_bucket_only,37,24,3,0.081081,15.523529,13.870016,0.675676,14.023529,13.523529,52.889057,-38.997631,1.356212,0.567568,"{""ASIA"": 6, ""LATE_US"": 5, ""LONDON"": 5, ""US"": 21}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,LONG,24,,volume_bucket_only,32,27,3,0.09375,11.716763,19.759245,0.71875,10.216763,9.716763,25.776785,-21.178547,1.217118,0.40625,"{""ASIA"": 8, ""LATE_US"": 4, ""LONDON"": 7, ""US"": 13}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,SHORT,12,,volume_bucket_only,37,24,3,0.081081,10.772321,12.052689,0.756757,9.272321,8.772321,25.443833,-18.125586,1.403752,0.567568,"{""ASIA"": 6, ""LATE_US"": 5, ""LONDON"": 5, ""US"": 21}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,LONG,12,,volume_bucket_only,32,27,3,0.09375,8.166188,10.575333,0.65625,6.666188,6.166188,25.776785,-21.178547,1.217118,0.40625,"{""ASIA"": 8, ""LATE_US"": 4, ""LONDON"": 7, ""US"": 13}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,SHORT,24,,volume_bucket_only,37,24,3,0.081081,7.065525,11.220306,0.648649,5.565525,5.065525,25.443833,-18.125586,1.403752,0.567568,"{""ASIA"": 6, ""LATE_US"": 5, ""LONDON"": 5, ""US"": 21}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,SHORT,6,,volume_bucket_only,37,24,3,0.081081,5.62958,4.656121,0.702703,4.12958,3.62958,25.443833,-18.125586,1.403752,0.567568,"{""ASIA"": 6, ""LATE_US"": 5, ""LONDON"": 5, ""US"": 21}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,LONG,3,,volume_bucket_only,32,27,3,0.09375,4.784745,4.314672,0.71875,3.284745,2.784745,25.776785,-21.178547,1.217118,0.40625,"{""ASIA"": 8, ""LATE_US"": 4, ""LONDON"": 7, ""US"": 13}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,LONG,6,,volume_bucket_only,32,27,3,0.09375,4.413804,7.786532,0.59375,2.913804,2.413804,25.776785,-21.178547,1.217118,0.40625,"{""ASIA"": 8, ""LATE_US"": 4, ""LONDON"": 7, ""US"": 13}",True,REJECT_SURFACE,events_below_50,,Q90_95
EXHAUSTION_REVERSAL,SHORT,3,,volume_bucket_only,37,24,3,0.081081,1.10624,2.250897,0.648649,-0.39376,-0.89376,25.443833,-18.125586,1.403752,0.567568,"{""ASIA"": 6, ""LATE_US"": 5, ""LONDON"": 5, ""US"": 21}",True,REJECT_SURFACE,events_below_50;cost_0_00015_kills_edge,,Q90_95
