surface_id,family,side,horizon,clustered_events,independent_trade_days,net_edge_bp_after_0_00015,verdict,verdict_reason
VWAP_DEVIATION_REVERSION|SHORT|60|LATE_US|UNKNOWN|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,2,2,74.47488,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|12|ASIA|EXPANSION|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,12,1,1,73.582946,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|ASIA|EXPANSION|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,1,1,73.582946,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|LATE_US|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,60,1,1,73.288401,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|US|REVERSAL_CANDIDATE|HIGH_0_6_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,12,1,1,73.019398,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|TREND_UP|HIGH_0_6_1_0|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,72.811116,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|TREND_UP|HIGH_0_6_1_0|BELOW_Q75|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,72.122566,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|24|LONDON|CHOP|EXTREME_GE_1_0|Q95_PLUS|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,24,1,1,71.685383,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|3|LATE_US|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,3,1,1,69.747761,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,4,4,69.73022,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,1,1,69.652642,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|US|CHOP|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,67.940899,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|ASIA|UNKNOWN|MID_0_3_0_6|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,60,5,4,66.803049,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|ASIA|CHOP|MID_0_3_0_6|BELOW_Q75|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,60,1,1,66.622814,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|US|TREND_DOWN|EXTREME_GE_1_0|Q75_90|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,65.877386,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|LONDON|EXPANSION|MID_0_3_0_6|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,6,1,1,65.723626,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|TREND_UP|EXTREME_GE_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,65.348847,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|TREND_UP|EXTREME_GE_1_0|Q95_PLUS|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,2,1,64.859145,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,60,2,2,63.797573,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,63.622809,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|ASIA|EXPANSION|MID_0_3_0_6|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,60,2,2,63.330471,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|TREND_UP|HIGH_0_6_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,63.295759,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|24|LATE_US|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,24,1,1,63.14056,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|US|EXPANSION|EXTREME_GE_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,60,2,2,63.055306,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|US|UNKNOWN|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,60,3,3,62.761424,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|LONDON|UNKNOWN|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,60,1,1,62.092298,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|TREND_UP|MID_0_3_0_6|Q95_PLUS|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,61.538704,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|LATE_US|TREND_DOWN|HIGH_0_6_1_0|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,60,1,1,59.999768,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,2,2,59.901898,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|TREND_DOWN|EXTREME_GE_1_0|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,3,2,59.274959,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|12|ASIA|CHOP|MID_0_3_0_6|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,12,1,1,58.97766,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|LONDON|EXPANSION|MID_0_3_0_6|Q75_90|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,60,2,2,58.492277,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|TREND_UP|EXTREME_GE_1_0|Q95_PLUS|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,57.989804,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|ASIA|REVERSAL_CANDIDATE|MID_0_3_0_6|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,60,1,1,57.840714,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LONDON|EXPANSION|MID_0_3_0_6|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,57.715464,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|ASIA|CHOP|MID_0_3_0_6|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,2,2,57.581194,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|ASIA|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,60,1,1,57.410079,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|TREND_UP|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,3,3,57.406849,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|ASIA|EXPANSION|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,60,1,1,57.110966,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|EXPANSION|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,57.110966,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LATE_US|REVERSAL_CANDIDATE|EXTREME_GE_1_0|BELOW_Q75|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,56.750688,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|LATE_US|EXPANSION|EXTREME_GE_1_0|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,60,5,5,56.637527,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
